Name,Date,Distance,Time
Frodo,1/1/2025,5.08,54.57
Frodo,1/1/2025,8.98,91.02
Frodo,1/23/2025,2.44,27.22
Frodo,1/23/2025,8.25,72.54
Frodo,1/31/2025,6.87,73.02
Frodo,1/31/2025,9.37,99.5
Frodo,1/11/2025,8.5,82.38
Frodo,1/6/2025,5.31,44.46
Frodo,1/14/2025,1.7,18.86
Frodo,1/10/2025,6.15,71.67
Frodo,1/10/2025,6.16,60.92
Frodo,1/19/2025,3.7,29.71
Frodo,1/13/2025,4.37,46.62
Frodo,1/5/2025,9.75,103.81
Frodo,1/28/2025,1.72,17.27
Frodo,1/8/2025,8.13,73.81
Frodo,1/26/2025,8.69,90.57
Frodo,2/17/2025,6.98,70.14
Frodo,2/17/2025,1.97,18.07
Frodo,2/13/2025,9.43,105.73
Frodo,2/13/2025,7.31,82.32
Frodo,2/21/2025,8.24,93.74
Frodo,2/11/2025,6.81,68.69
Frodo,2/22/2025,9.83,115.7
Frodo,2/25/2025,9.44,93.41
Frodo,2/25/2025,2.18,22.96
Frodo,2/23/2025,5.02,53.3
Frodo,2/23/2025,9.23,107.73
Frodo,2/16/2025,4.82,46.07
Frodo,2/16/2025,4.94,49.3
Frodo,2/14/2025,1.78,14.73
Frodo,2/9/2025,3.09,36.41
Frodo,2/24/2025,9.05,77.31
Frodo,2/6/2025,8.09,87.6
Frodo,2/8/2025,4.71,45.12
Frodo,2/2/2025,9.89,108.29
Frodo,3/6/2025,7.91,69.79
Frodo,3/6/2025,0.66,6.92
Frodo,3/24/2025,3.35,29.55
Frodo,3/24/2025,2.78,24.4
Frodo,3/14/2025,6.48,56.73
Frodo,3/14/2025,9.58,78.39
Frodo,3/13/2025,8.49,100
Frodo,3/3/2025,9.81,107.26
Frodo,3/25/2025,5.87,61.8
Frodo,4/8/2025,5.27,55.92
Frodo,4/8/2025,3.22,31.74
Frodo,4/11/2025,4.35,42.1
Frodo,4/6/2025,5.82,67.09
Frodo,4/26/2025,8.67,92.86
Frodo,4/26/2025,9.43,78.69
Frodo,4/2/2025,6.94,56.77
Frodo,4/2/2025,9.06,94.03
Frodo,4/9/2025,8.41,96.26
Frodo,4/9/2025,4.59,44.78
Frodo,4/30/2025,3.49,28.05
Frodo,4/17/2025,5.72,64.54
Frodo,4/17/2025,4.81,55.18
Frodo,4/18/2025,6.15,63.77
Frodo,4/1/2025,9.1,77.95
Frodo,4/1/2025,1.6,15.77
Frodo,4/28/2025,0.93,9.41
Frodo,4/16/2025,5.35,46.64
Frodo,4/13/2025,4.75,53.72
Frodo,4/13/2025,1.4,12.67
Frodo,4/29/2025,6.67,79.1
Frodo,4/29/2025,9.5,84.02
Frodo,4/19/2025,1.36,12.26
Frodo,4/10/2025,6.97,62.07
Frodo,4/12/2025,7.54,85.93
Frodo,4/3/2025,1.76,20.75
Frodo,4/27/2025,1.77,16.53
Frodo,4/25/2025,0.76,8.84
Sam,1/9/2025,5.19,81.01
Sam,1/9/2025,9.53,131.27
Sam,1/30/2025,4.38,59.16
Sam,1/30/2025,7.38,109.7
Sam,1/3/2025,4.4,59.24
Sam,1/14/2025,8.31,139.58
Sam,1/6/2025,7.41,122.64
Sam,1/6/2025,6.01,85.53
Sam,1/29/2025,2.82,41.36
Sam,1/11/2025,0.8,10.61
Sam,1/11/2025,4.99,70.1
Sam,1/19/2025,5.13,76.39
Sam,1/19/2025,2.29,32.85
Sam,1/18/2025,4.21,64.62
Sam,1/18/2025,8.39,116.84
Sam,1/20/2025,6.13,86.37
Sam,1/4/2025,7.16,95.65
Sam,1/22/2025,1.29,20.15
Sam,1/24/2025,2.05,30.84
Sam,1/24/2025,5.51,83.98
Sam,1/21/2025,1.6,22.79
Sam,1/25/2025,2.68,40.66
Sam,1/23/2025,9.85,129.6
Sam,1/27/2025,2.8,45.89
Sam,1/1/2025,1.39,21.54
Sam,2/8/2025,5.57,74.95
Sam,2/8/2025,1.42,23.99
Sam,2/12/2025,2.18,31.35
Sam,2/13/2025,2.67,40.03
Sam,2/13/2025,8.77,134.35
Sam,2/19/2025,3.74,52.19
Sam,2/11/2025,5.94,86.52
Sam,2/11/2025,4.12,63.31
Sam,2/24/2025,0.6,10.06
Sam,2/18/2025,2.15,33.05
Sam,2/9/2025,0.61,9.03
Sam,2/9/2025,2.92,44.13
Sam,2/15/2025,2.19,32.74
Sam,2/16/2025,9.7,139.55
Sam,2/16/2025,9.59,131.85
Sam,2/23/2025,6.92,107.77
Sam,2/23/2025,9.62,128.45
Sam,2/22/2025,7.81,108.79
Sam,2/22/2025,9.88,145.07
Sam,2/17/2025,1.45,24.01
Sam,2/10/2025,6.63,111.48
Sam,2/10/2025,4.42,74.62
Sam,2/5/2025,6.48,104.8
Sam,2/26/2025,7.34,122.13
Sam,2/28/2025,2.04,33.4
Sam,3/20/2025,9.38,153.94
Sam,3/20/2025,6.39,104.97
Sam,3/7/2025,1.28,18.82
Sam,3/12/2025,1.56,21.8
Sam,3/18/2025,4.51,66.71
Sam,3/18/2025,8.3,108.37
Sam,3/17/2025,3.39,46.1
Sam,3/17/2025,0.76,12.41
Sam,3/4/2025,4.73,68.03
Sam,3/2/2025,4.68,65.17
Sam,3/5/2025,3.13,47.95
Sam,4/5/2025,9.61,155
Sam,4/5/2025,3.33,47.58
Sam,4/15/2025,7.7,104
Sam,4/22/2025,4.53,67.49
Sam,4/14/2025,5.43,89.18
Sam,4/10/2025,5.83,87.43
Sam,4/2/2025,4.18,64.86
Sam,4/25/2025,3.79,63.79
Sam,4/25/2025,9.03,139.25
Sam,4/20/2025,8.17,110.81
Sam,4/20/2025,6.49,100.2
Sam,4/29/2025,7.83,106.85
Sam,4/7/2025,5.54,92.94
Sam,4/27/2025,7.71,128.83
Sam,4/24/2025,5.09,79.49
Sam,4/13/2025,1.33,20.2
Sam,4/16/2025,0.74,9.74
Merry,1/5/2025,7.01,138.76
Merry,1/5/2025,7.7,141.33
Merry,1/30/2025,4.36,90.67
Merry,1/11/2025,5.63,109.51
Merry,1/11/2025,6.9,147.09
Merry,1/2/2025,1.08,19.8
Merry,1/28/2025,7.87,145.93
Merry,1/28/2025,1.79,35.37
Merry,1/3/2025,4.53,88.68
Merry,1/3/2025,0.76,14.3
Merry,1/19/2025,7.41,153.17
Merry,1/19/2025,8.09,148.49
Merry,1/24/2025,9.12,182.98
Merry,1/4/2025,5.64,103.75
Merry,1/4/2025,5.08,99.24
Merry,1/20/2025,2.9,63.11
Merry,1/15/2025,2.44,52.1
Merry,1/15/2025,5.35,115.96
Merry,1/10/2025,7.73,164.92
Merry,1/25/2025,6.88,141.93
Merry,1/6/2025,0.53,10.55
Merry,1/8/2025,6.77,136.45
Merry,1/14/2025,9.75,185.2
Merry,1/26/2025,9.81,191.91
Merry,1/21/2025,4.95,100.28
Merry,1/18/2025,5.42,110.42
Merry,1/9/2025,5.74,125.82
Merry,2/8/2025,6.38,122.57
Merry,2/8/2025,7.7,168.1
Merry,2/28/2025,9.43,205.58
Merry,2/7/2025,4.4,94.19
Merry,2/7/2025,2.58,48.27
Merry,2/26/2025,8.2,170.2
Merry,2/14/2025,5.01,94.1
Merry,2/14/2025,9.45,171.49
Merry,2/15/2025,8.23,156.32
Merry,2/19/2025,6.84,135.66
Merry,2/21/2025,8.54,178.83
Merry,2/23/2025,2.61,53.08
Merry,2/11/2025,9.81,194.48
Merry,2/3/2025,1.6,32.47
Merry,2/3/2025,2.99,61.66
Merry,2/13/2025,3.56,77.2
Merry,2/13/2025,5.34,99.1
Merry,2/5/2025,1.89,39.74
Merry,2/5/2025,4.95,103.23
Merry,2/2/2025,7.15,139.97
Merry,2/17/2025,7.04,131.59
Merry,2/10/2025,3.02,58.06
Merry,2/9/2025,8.94,170.9
Merry,2/18/2025,8.53,185.13
Merry,3/4/2025,5.98,116.65
Merry,3/4/2025,3.61,72.32
